llm,dataset,method_a,method_b,paired_n,method_a_paired_correct,method_b_paired_correct,method_a_total,method_b_total,method_a_source_accuracy_pct,method_b_source_accuracy_pct,paired_delta_accuracy_pct,a_correct_b_wrong,a_wrong_b_correct,mcnemar_p_value,mcnemar_significant_0_05,paired_t_statistic,paired_t_p_value,paired_t_significant_0_05,source_a,source_b
mistral-small3.2:24b,Adrenal,Single-pass RAG w/ rerank,Agentic Workflow,50,39,40,50,50,78.00,80.00,2.00,3,4,1,False,0.374701,0.709499,False,results/Method_vectorRAG/mistral-small3.2:24b/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_AdrenalGlands_dataset_diabetesVectorTool512_100_mistral-small3.2_24b_qwen3-embedding_8b_1.json,results/Method_vectorRAG/mistral-small3.2:24b/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_AdrenalGlands.json
mistral-small3.2:24b,Reproductive,Single-pass RAG w/ rerank,Agentic Workflow,42,27,29,42,42,64.29,69.05,4.76,5,7,0.774414,False,0.572713,0.569967,False,results/Method_vectorRAG/mistral-small3.2:24b/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_ReproductiveEndocrinology_dataset_diabetesVectorTool512_100_mistral-small3.2_24b_qwen3-embedding_8b_1.json,results/Method_vectorRAG/mistral-small3.2:24b/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_ReproductiveEndocrinology.json
mistral-small3.2:24b,UKEU,Single-pass RAG w/ rerank,Agentic Workflow,85,44,49,85,85,51.76,57.65,5.88,8,13,0.38331,False,1.09233,0.277812,False,results/Method_vectorRAG/mistral-small3.2:24b/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_UKEU_diabetesVectorTool512_100_mistral-small3.2_24b_qwen3-embedding_8b_1.json,results/Method_vectorRAG/mistral-small3.2:24b/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_UKEU.json
mistral-small3.2:24b,All datasets,Single-pass RAG w/ rerank,Agentic Workflow,386,270,282,386,386,69.95,73.06,3.11,29,41,0.188216,False,1.43625,0.151744,False,results/Method_vectorRAG/mistral-small3.2:24b/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_MCQs_sample_questions2015_full_diabetesVectorTool512_100_mistral-small3.2_24b_qwen3-embedding_8b_1.json;results/Method_vectorRAG/mistral-small3.2:24b/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_ThyroidGland_dataset_diabetesVectorTool512_100_mistral-small3.2_24b_qwen3-embedding_8b_1.json;results/Method_vectorRAG/mistral-small3.2:24b/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_ParathyroidGlandAndBoneDisease_dataset_diabetesVectorTool512_100_mistral-small3.2_24b_qwen3-embedding_8b_1.json;results/Method_vectorRAG/mistral-small3.2:24b/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_PituitaryGlandAndHypothalamus_dataset_diabetesVectorTool512_100_mistral-small3.2_24b_qwen3-embedding_8b_1.json;results/Method_vectorRAG/mistral-small3.2:24b/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_AdrenalGlands_dataset_diabetesVectorTool512_100_mistral-small3.2_24b_qwen3-embedding_8b_1.json;results/Method_vectorRAG/mistral-small3.2:24b/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_ReproductiveEndocrinology_dataset_diabetesVectorTool512_100_mistral-small3.2_24b_qwen3-embedding_8b_1.json;results/Method_vectorRAG/mistral-small3.2:24b/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_UKEU_diabetesVectorTool512_100_mistral-small3.2_24b_qwen3-embedding_8b_1.json,results/Method_vectorRAG/mistral-small3.2:24b/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_Diabetes.json;results/Method_vectorRAG/mistral-small3.2:24b/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_ThyroidGland.json;results/Method_vectorRAG/mistral-small3.2:24b/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_ParathyroidGlandAndBoneDisease.json;results/Method_vectorRAG/mistral-small3.2:24b/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_PituitaryGlandAndHypothalamus.json;results/Method_vectorRAG/mistral-small3.2:24b/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_AdrenalGlands.json;results/Method_vectorRAG/mistral-small3.2:24b/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_ReproductiveEndocrinology.json;results/Method_vectorRAG/mistral-small3.2:24b/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_UKEU.json
minimax-m2.7:cloud,Diabetes,Single-pass RAG w/ rerank,Agentic Workflow,53,42,42,53,53,79.25,79.25,0.00,5,5,1,False,0,1,False,results/Method_vectorRAG/minimax-m2.7:cloud/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_MCQs_sample_questions2015_full_diabetesVectorTool512_100_minimax-m2.7_cloud_qwen3-embedding_8b_1.json,results/Method_vectorRAG/minimax-m2.7:cloud/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_Diabetes.json
minimax-m2.7:cloud,Thyroid,Single-pass RAG w/ rerank,Agentic Workflow,59,51,54,59,59,86.44,91.53,5.08,0,3,0.25,False,1.76271,0.0832179,False,results/Method_vectorRAG/minimax-m2.7:cloud/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_ThyroidGland_dataset_diabetesVectorTool512_100_minimax-m2.7_cloud_qwen3-embedding_8b_1.json,results/Method_vectorRAG/minimax-m2.7:cloud/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_ThyroidGland.json
minimax-m2.7:cloud,Parathyroid,Single-pass RAG w/ rerank,Agentic Workflow,43,39,39,43,43,90.70,90.70,0.00,3,3,1,False,0,1,False,results/Method_vectorRAG/minimax-m2.7:cloud/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_ParathyroidGlandAndBoneDisease_dataset_diabetesVectorTool512_100_minimax-m2.7_cloud_qwen3-embedding_8b_1.json,results/Method_vectorRAG/minimax-m2.7:cloud/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_ParathyroidGlandAndBoneDisease.json
minimax-m2.7:cloud,Pituitary,Single-pass RAG w/ rerank,Agentic Workflow,54,45,46,54,54,83.33,85.19,1.85,3,4,1,False,0.374945,0.709198,False,results/Method_vectorRAG/minimax-m2.7:cloud/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_PituitaryGlandAndHypothalamus_dataset_diabetesVectorTool512_100_minimax-m2.7_cloud_qwen3-embedding_8b_1.json,results/Method_vectorRAG/minimax-m2.7:cloud/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_PituitaryGlandAndHypothalamus.json
minimax-m2.7:cloud,Adrenal,Single-pass RAG w/ rerank,Agentic Workflow,50,41,40,50,50,82.00,80.00,-2.00,2,1,1,False,-0.573462,0.568954,False,results/Method_vectorRAG/minimax-m2.7:cloud/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_AdrenalGlands_dataset_diabetesVectorTool512_100_minimax-m2.7_cloud_qwen3-embedding_8b_1.json,results/Method_vectorRAG/minimax-m2.7:cloud/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_AdrenalGlands.json
minimax-m2.7:cloud,Reproductive,Single-pass RAG w/ rerank,Agentic Workflow,42,31,32,42,42,73.81,76.19,2.38,0,1,1,False,1,0.323176,False,results/Method_vectorRAG/minimax-m2.7:cloud/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_ReproductiveEndocrinology_dataset_diabetesVectorTool512_100_minimax-m2.7_cloud_qwen3-embedding_8b_1.json,results/Method_vectorRAG/minimax-m2.7:cloud/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_ReproductiveEndocrinology.json
